TrainNo,TrainName,TrainType,BlockNo,IB,ETANS,ETADS,CurrentSpeed,DFNS,CurrentDelay,DwellTime,BlockLen,ApproachingBlockNo,AdvanceBlockNo,RunningStatus,HaltStation,PFNo
12016,Delhi Sarai Rohilla Express,Express,2,False,2023-09-10 08:06:17,2023-09-10 08:06:35,95,19.6,33.8,0,467,1,3,True,,
14567,Patel Nagar Passenger,Passenger,8,False,2023-09-10 10:01:54,2023-09-10 10:02:49,57,41.3,4.8,0,867,7,9,True,,
ARMY12,Army Supply Special,Military,14,False,2023-09-10 07:03:40,2023-09-10 07:04:21,67,43.5,31.2,0,757,13,15,True,,
MEDICAL2,Lifeline Express,Medical,21,False,2023-09-10 07:17:24,2023-09-10 07:19:49,40,8.9,19.5,0,1608,20,22,True,,
14567,Patel Nagar Passenger,Passenger,21,True,2023-09-10 06:20:16,2023-09-10 06:20:16,0,20.5,13.2,197,871,20,22,True,Delhi Sarai Rohilla,3.0
12016,Delhi Sarai Rohilla Express,Express,13,False,2023-09-10 08:35:45,2023-09-10 08:36:30,103,37.4,0.3,0,1292,12,14,True,,
12016,Delhi Sarai Rohilla Express,Express,20,False,2023-09-10 06:10:30,2023-09-10 06:11:01,95,32.5,30.0,0,809,19,21,True,,
ARMY12,Army Supply Special,Military,24,True,2023-09-10 10:12:36,2023-09-10 10:12:36,0,27.6,31.8,96,2493,23,25,True,Delhi Sarai Rohilla,4.0
12015,Gurugram Superfast,Superfast,6,False,2023-09-10 07:44:19,2023-09-10 07:46:39,58,36.7,43.4,0,2254,5,7,True,,
99999,Kirti Nagar Express,Express,19,False,2023-09-10 06:01:05,2023-09-10 06:02:10,102,6.5,16.7,0,1846,18,20,True,,
98765,Kirti-Sarai Passenger,Passenger,6,False,2023-09-10 06:39:35,2023-09-10 06:40:10,47,21.2,40.7,0,458,5,7,True,,
MEDICAL2,Lifeline Express,Medical,7,False,2023-09-10 07:59:41,2023-09-10 08:02:22,48,15.7,28.6,0,2153,6,8,True,,
12015,Gurugram Superfast,Superfast,10,False,2023-09-10 08:28:30,2023-09-10 08:31:01,48,23.5,13.7,0,2011,9,11,True,,
14567,Patel Nagar Passenger,Passenger,11,False,2023-09-10 08:12:28,2023-09-10 08:12:57,76,11.8,29.6,0,602,10,12,True,,
12015,Gurugram Superfast,Superfast,7,False,2023-09-10 10:10:21,2023-09-10 10:12:42,58,23.6,16.2,0,2278,6,8,True,,
12016,Delhi Sarai Rohilla Express,Express,1,False,2023-09-10 08:08:42,2023-09-10 08:09:25,86,29.4,23.8,0,1023,0,2,True,,
14789,Dayabasti Local,Passenger,14,False,2023-09-10 07:07:18,2023-09-10 07:07:37,90,10.9,28.5,0,474,13,15,True,,
12016,Delhi Sarai Rohilla Express,Express,2,False,2023-09-10 06:16:26,2023-09-10 06:16:53,103,0.2,43.6,0,764,1,3,True,,
ARMY12,Army Supply Special,Military,16,False,2023-09-10 08:27:18,2023-09-10 08:27:37,83,19.7,13.9,0,427,15,17,True,,
11223,Capital Express,Express,16,False,2023-09-10 07:31:53,2023-09-10 07:33:47,59,11.0,26.8,0,1862,15,17,False,,
22345,Old Delhi Passenger,Passenger,17,False,2023-09-10 09:32:19,2023-09-10 09:32:39,96,28.1,35.8,0,527,16,18,True,,
14789,Dayabasti Local,Passenger,2,False,2023-09-10 10:42:39,2023-09-10 10:44:18,71,14.5,0.8,0,1961,1,3,True,,
99999,Kirti Nagar Express,Express,13,True,2023-09-10 06:02:37,2023-09-10 06:02:37,0,46.1,16.2,97,2051,12,14,True,Dayabasti,3.0
11223,Capital Express,Express,9,True,2023-09-10 09:24:52,2023-09-10 09:24:52,0,25.5,20.9,232,1719,8,10,False,Kirti Nagar,4.0
12016,Delhi Sarai Rohilla Express,Express,11,False,2023-09-10 08:30:22,2023-09-10 08:30:45,73,0.3,12.8,0,459,10,12,True,,
12016,Delhi Sarai Rohilla Express,Express,11,False,2023-09-10 07:03:40,2023-09-10 07:04:20,103,47.3,11.0,0,1158,10,12,True,,
12015,Gurugram Superfast,Superfast,13,False,2023-09-10 10:34:32,2023-09-10 10:37:04,59,14.6,24.6,0,2499,12,14,True,,
99999,Kirti Nagar Express,Express,5,False,2023-09-10 08:51:06,2023-09-10 08:52:13,86,13.3,44.9,0,1594,4,6,True,,
11223,Capital Express,Express,7,False,2023-09-10 10:24:36,2023-09-10 10:25:12,93,29.1,42.5,0,938,6,8,False,,
76543,Gurugram SF 2,Superfast,4,False,2023-09-10 09:45:59,2023-09-10 09:48:59,48,9.9,37.8,0,2396,3,5,True,,
12016,Delhi Sarai Rohilla Express,Express,13,False,2023-09-10 09:29:09,2023-09-10 09:30:18,44,9.4,25.0,0,847,12,14,True,,
98765,Kirti-Sarai Passenger,Passenger,10,False,2023-09-10 09:16:35,2023-09-10 09:17:10,72,42.5,31.6,0,709,9,11,True,,
ARMY12,Army Supply Special,Military,12,False,2023-09-10 10:57:43,2023-09-10 10:58:27,87,18.5,5.4,0,1057,11,13,True,,
11223,Capital Express,Express,2,True,2023-09-10 10:08:22,2023-09-10 10:08:22,0,18.4,39.3,263,1432,1,3,False,Gurugram,4.0
98765,Kirti-Sarai Passenger,Passenger,2,False,2023-09-10 07:45:49,2023-09-10 07:46:38,54,34.9,37.0,0,741,1,3,True,,
ARMY12,Army Supply Special,Military,20,False,2023-09-10 09:09:07,2023-09-10 09:10:14,82,30.0,19.2,0,1533,19,21,True,,
99999,Kirti Nagar Express,Express,7,False,2023-09-10 09:05:41,2023-09-10 09:07:23,51,44.5,1.5,0,1443,6,8,True,,
MEDICAL1,Sanjeevani Medical Express,Medical,24,False,2023-09-10 06:03:51,2023-09-10 06:06:43,51,38.1,33.1,0,2433,23,25,True,,
ARMY12,Army Supply Special,Military,2,False,2023-09-10 09:00:47,2023-09-10 09:01:34,91,29.2,44.8,0,1196,1,3,True,,
MEDICAL2,Lifeline Express,Medical,1,True,2023-09-10 10:37:57,2023-09-10 10:37:57,0,35.7,14.4,177,2050,0,2,True,Gurugram,4.0
MEDICAL2,Lifeline Express,Medical,15,False,2023-09-10 09:29:38,2023-09-10 09:30:16,70,49.6,8.9,0,745,14,16,True,,
12015,Gurugram Superfast,Superfast,12,False,2023-09-10 07:46:33,2023-09-10 07:48:07,78,6.9,0.6,0,2036,11,13,True,,
22345,Old Delhi Passenger,Passenger,22,False,2023-09-10 10:01:34,2023-09-10 10:02:08,55,13.4,5.2,0,526,21,23,True,,
98765,Kirti-Sarai Passenger,Passenger,1,False,2023-09-10 07:40:06,2023-09-10 07:41:13,75,2.6,37.4,0,1386,0,2,True,,
ARMY24,Army Special,Military,18,True,2023-09-10 09:26:00,2023-09-10 09:26:00,0,37.3,27.3,0,2451,17,19,False,,
99999,Kirti Nagar Express,Express,10,False,2023-09-10 10:38:51,2023-09-10 10:40:42,48,30.2,29.6,0,1484,9,11,True,,
14567,Patel Nagar Passenger,Passenger,14,False,2023-09-10 09:05:39,2023-09-10 09:06:18,85,23.0,8.7,0,927,13,15,True,,
ARMY24,Army Special,Military,10,True,2023-09-10 08:05:33,2023-09-10 08:05:33,0,3.9,1.6,93,2485,9,11,False,Patel Nagar,4.0
ARMY24,Army Special,Military,11,False,2023-09-10 06:15:22,2023-09-10 06:17:44,47,39.1,18.9,0,1860,10,12,False,,
22345,Old Delhi Passenger,Passenger,17,False,2023-09-10 08:02:14,2023-09-10 08:03:28,100,17.5,7.2,0,2065,16,18,True,,
14567,Patel Nagar Passenger,Passenger,23,False,2023-09-10 09:22:18,2023-09-10 09:23:37,91,47.0,31.5,0,1991,22,24,True,,
MEDICAL2,Lifeline Express,Medical,10,False,2023-09-10 06:37:20,2023-09-10 06:38:40,58,18.0,7.4,0,1292,9,11,True,,
MEDICAL2,Lifeline Express,Medical,2,True,2023-09-10 07:54:42,2023-09-10 07:54:42,0,5.4,14.6,162,1468,1,3,True,Gurugram,5.0
99999,Kirti Nagar Express,Express,17,False,2023-09-10 08:22:41,2023-09-10 08:24:23,87,44.2,37.9,0,2464,16,18,True,,
99999,Kirti Nagar Express,Express,8,False,2023-09-10 09:57:33,2023-09-10 09:59:06,67,13.1,29.9,0,1738,7,9,True,,
11223,Capital Express,Express,4,True,2023-09-10 07:09:00,2023-09-10 07:09:00,0,28.7,12.8,120,1273,3,5,False,Gurugram,6.0
99999,Kirti Nagar Express,Express,5,False,2023-09-10 10:32:46,2023-09-10 10:34:32,62,22.6,1.3,0,1834,4,6,True,,
12015,Gurugram Superfast,Superfast,12,False,2023-09-10 10:32:56,2023-09-10 10:33:52,101,24.1,30.8,0,1585,11,13,True,,
ARMY24,Army Special,Military,19,False,2023-09-10 09:21:42,2023-09-10 09:22:25,45,28.6,38.9,0,533,18,20,False,,
12015,Gurugram Superfast,Superfast,8,False,2023-09-10 09:29:03,2023-09-10 09:30:07,57,40.1,15.0,0,1006,7,9,True,,
11223,Capital Express,Express,22,False,2023-09-10 07:01:48,2023-09-10 07:04:36,41,33.4,38.0,0,1915,21,23,False,,
76543,Gurugram SF 2,Superfast,13,False,2023-09-10 10:06:42,2023-09-10 10:09:24,52,10.6,40.7,0,2343,12,14,True,,
12015,Gurugram Superfast,Superfast,13,False,2023-09-10 10:00:18,2023-09-10 10:03:36,44,26.6,5.5,0,2426,12,14,True,,
11223,Capital Express,Express,4,False,2023-09-10 07:03:26,2023-09-10 07:04:53,100,8.0,30.3,0,2410,3,5,False,,
99999,Kirti Nagar Express,Express,15,False,2023-09-10 06:33:18,2023-09-10 06:34:37,87,0.9,40.8,0,1903,14,16,True,,
11223,Capital Express,Express,11,False,2023-09-10 10:11:53,2023-09-10 10:12:47,73,42.2,42.6,0,1087,10,12,False,,
76543,Gurugram SF 2,Superfast,22,False,2023-09-10 08:36:25,2023-09-10 08:38:51,59,3.8,19.6,0,2390,21,23,True,,
12016,Delhi Sarai Rohilla Express,Express,2,False,2023-09-10 06:38:20,2023-09-10 06:39:40,85,29.3,36.9,0,1890,1,3,True,,
14567,Patel Nagar Passenger,Passenger,15,False,2023-09-10 09:12:21,2023-09-10 09:12:42,90,3.4,10.0,0,530,14,16,True,,
22345,Old Delhi Passenger,Passenger,15,False,2023-09-10 10:36:45,2023-09-10 10:37:31,108,36.7,23.7,0,1379,14,16,True,,
12016,Delhi Sarai Rohilla Express,Express,20,False,2023-09-10 10:17:44,2023-09-10 10:19:28,53,39.6,32.2,0,1537,19,21,True,,
12015,Gurugram Superfast,Superfast,15,False,2023-09-10 07:16:28,2023-09-10 07:17:56,97,47.1,20.8,0,2380,14,16,True,,
76543,Gurugram SF 2,Superfast,19,False,2023-09-10 09:50:45,2023-09-10 09:53:30,45,39.6,14.1,0,2065,18,20,True,,
11223,Capital Express,Express,20,True,2023-09-10 10:19:12,2023-09-10 10:19:12,0,30.2,1.1,252,1502,19,21,False,Delhi Sarai Rohilla,3.0
ARMY24,Army Special,Military,25,False,2023-09-10 10:41:10,2023-09-10 10:43:20,62,32.6,39.6,0,2242,24,0,False,,
11223,Capital Express,Express,10,False,2023-09-10 08:12:07,2023-09-10 08:13:15,57,26.9,28.6,0,1070,9,11,False,,
76543,Gurugram SF 2,Superfast,3,False,2023-09-10 07:48:49,2023-09-10 07:49:39,53,5.6,34.4,0,730,2,4,True,,
99999,Kirti Nagar Express,Express,13,False,2023-09-10 10:03:27,2023-09-10 10:03:54,82,48.5,37.9,0,615,12,14,True,,
11223,Capital Express,Express,14,False,2023-09-10 08:39:44,2023-09-10 08:41:28,77,14.8,33.4,0,2226,13,15,False,,
MEDICAL2,Lifeline Express,Medical,14,False,2023-09-10 07:38:48,2023-09-10 07:39:36,84,49.7,37.1,0,1125,13,15,True,,
98765,Kirti-Sarai Passenger,Passenger,8,False,2023-09-10 06:31:55,2023-09-10 06:32:50,103,47.8,26.2,0,1584,7,9,True,,
MEDICAL2,Lifeline Express,Medical,18,False,2023-09-10 06:51:48,2023-09-10 06:52:37,101,45.4,40.3,0,1373,17,19,True,,
98765,Kirti-Sarai Passenger,Passenger,6,True,2023-09-10 08:47:16,2023-09-10 08:47:16,0,49.2,44.6,196,2384,5,7,True,Kirti Nagar,2.0
14567,Patel Nagar Passenger,Passenger,20,False,2023-09-10 07:36:27,2023-09-10 07:37:54,77,30.4,36.6,0,1867,19,21,True,,
11223,Capital Express,Express,14,False,2023-09-10 09:23:45,2023-09-10 09:24:31,74,0.1,31.7,0,945,13,15,False,,
MEDICAL1,Sanjeevani Medical Express,Medical,12,False,2023-09-10 08:17:18,2023-09-10 08:18:37,87,21.8,32.4,0,1898,11,13,True,,
14567,Patel Nagar Passenger,Passenger,20,False,2023-09-10 07:07:08,2023-09-10 07:08:17,53,1.9,28.4,0,1014,19,21,True,,
MEDICAL2,Lifeline Express,Medical,22,True,2023-09-10 08:02:01,2023-09-10 08:02:01,0,48.4,22.7,182,2439,21,23,True,Delhi Sarai Rohilla,2.0
ARMY12,Army Supply Special,Military,18,False,2023-09-10 09:12:03,2023-09-10 09:13:06,43,4.1,26.3,0,753,17,19,True,,
99999,Kirti Nagar Express,Express,21,False,2023-09-10 07:16:53,2023-09-10 07:17:46,65,37.5,17.4,0,960,20,22,True,,
14789,Dayabasti Local,Passenger,7,False,2023-09-10 08:45:44,2023-09-10 08:47:29,53,1.3,19.3,0,1543,6,8,True,,
14567,Patel Nagar Passenger,Passenger,25,False,2023-09-10 08:50:14,2023-09-10 08:51:29,105,4.3,43.5,0,2175,24,0,True,,
22345,Old Delhi Passenger,Passenger,21,False,2023-09-10 08:46:20,2023-09-10 08:46:40,78,29.7,29.9,0,436,20,22,True,,
99999,Kirti Nagar Express,Express,9,False,2023-09-10 10:53:57,2023-09-10 10:54:54,87,29.8,42.8,0,1386,8,10,True,,
22345,Old Delhi Passenger,Passenger,9,True,2023-09-10 08:02:22,2023-09-10 08:02:22,0,8.5,23.9,143,625,8,10,True,Kirti Nagar,3.0
22345,Old Delhi Passenger,Passenger,16,False,2023-09-10 10:04:11,2023-09-10 10:05:23,110,49.4,28.3,0,2191,15,17,True,,
ARMY12,Army Supply Special,Military,10,False,2023-09-10 07:41:19,2023-09-10 07:41:38,82,26.2,12.8,0,437,9,11,True,,
14567,Patel Nagar Passenger,Passenger,17,False,2023-09-10 09:08:51,2023-09-10 09:09:42,95,14.7,40.0,0,1355,16,18,True,,
ARMY24,Army Special,Military,2,True,2023-09-10 10:13:13,2023-09-10 10:13:13,0,18.4,19.7,73,1228,1,3,False,Gurugram,6.0
99999,Kirti Nagar Express,Express,9,True,2023-09-10 07:51:01,2023-09-10 07:51:01,0,46.2,17.8,241,874,8,10,True,Kirti Nagar,6.0
22345,Old Delhi Passenger,Passenger,4,False,2023-09-10 10:45:27,2023-09-10 10:46:55,99,15.7,18.0,0,2413,3,5,True,,
99999,Kirti Nagar Express,Express,8,False,2023-09-10 10:42:07,2023-09-10 10:43:14,104,29.0,35.2,0,1940,7,9,True,,
MEDICAL2,Lifeline Express,Medical,19,False,2023-09-10 06:16:41,2023-09-10 06:17:22,60,5.2,13.1,0,690,18,20,True,,
98765,Kirti-Sarai Passenger,Passenger,11,False,2023-09-10 08:14:44,2023-09-10 08:17:28,42,0.5,24.6,0,1919,10,12,True,,
12016,Delhi Sarai Rohilla Express,Express,11,False,2023-09-10 09:31:10,2023-09-10 09:32:20,103,28.7,39.2,0,2012,10,12,True,,
12016,Delhi Sarai Rohilla Express,Express,12,False,2023-09-10 10:49:49,2023-09-10 10:51:39,81,45.7,42.2,0,2468,11,13,True,,
11223,Capital Express,Express,13,False,2023-09-10 10:52:19,2023-09-10 10:52:39,81,18.0,20.0,0,442,12,14,False,,
MEDICAL2,Lifeline Express,Medical,3,False,2023-09-10 06:15:43,2023-09-10 06:16:27,99,49.5,32.6,0,1205,2,4,True,,
11223,Capital Express,Express,15,True,2023-09-10 09:28:12,2023-09-10 09:28:12,0,43.3,41.8,72,1688,14,16,False,Shakur Basti,5.0
MEDICAL2,Lifeline Express,Medical,25,False,2023-09-10 09:37:23,2023-09-10 09:37:46,65,17.7,38.5,0,419,24,0,True,,
76543,Gurugram SF 2,Superfast,15,False,2023-09-10 09:37:38,2023-09-10 09:38:17,62,17.9,4.8,0,664,14,16,True,,
MEDICAL2,Lifeline Express,Medical,14,False,2023-09-10 08:56:24,2023-09-10 08:56:48,85,25.4,43.5,0,569,13,15,True,,
12015,Gurugram Superfast,Superfast,22,False,2023-09-10 10:03:46,2023-09-10 10:04:32,80,12.7,21.3,0,1025,21,23,True,,
22345,Old Delhi Passenger,Passenger,16,False,2023-09-10 06:04:03,2023-09-10 06:05:07,106,12.6,7.7,0,1874,15,17,True,,
14567,Patel Nagar Passenger,Passenger,1,False,2023-09-10 07:51:59,2023-09-10 07:52:58,105,5.9,36.2,0,1730,0,2,True,,
ARMY12,Army Supply Special,Military,11,False,2023-09-10 08:01:22,2023-09-10 08:01:45,75,7.4,5.0,0,472,10,12,True,,
98765,Kirti-Sarai Passenger,Passenger,25,True,2023-09-10 10:58:00,2023-09-10 10:58:00,0,23.7,19.7,300,1833,24,0,True,Delhi Sarai Rohilla,5.0
12015,Gurugram Superfast,Superfast,23,True,2023-09-10 10:19:51,2023-09-10 10:19:51,0,41.6,17.8,291,912,22,24,True,Delhi Sarai Rohilla,3.0
12015,Gurugram Superfast,Superfast,1,False,2023-09-10 06:24:58,2023-09-10 06:25:56,110,41.5,25.3,0,1785,0,2,True,,
12016,Delhi Sarai Rohilla Express,Express,12,True,2023-09-10 09:28:36,2023-09-10 09:28:36,0,33.4,43.2,276,1630,11,13,True,Patel Nagar,2.0
ARMY24,Army Special,Military,7,True,2023-09-10 06:07:48,2023-09-10 06:07:48,0,0.2,28.4,288,2430,6,8,False,Kirti Nagar,2.0
14789,Dayabasti Local,Passenger,24,True,2023-09-10 10:16:28,2023-09-10 10:16:28,0,40.6,36.3,149,1984,23,25,True,Delhi Sarai Rohilla,3.0
MEDICAL2,Lifeline Express,Medical,24,False,2023-09-10 10:12:45,2023-09-10 10:14:31,79,26.5,22.3,0,2324,23,25,True,,
98765,Kirti-Sarai Passenger,Passenger,8,False,2023-09-10 07:04:33,2023-09-10 07:06:07,46,38.0,2.2,0,1201,7,9,True,,
14567,Patel Nagar Passenger,Passenger,4,False,2023-09-10 10:15:57,2023-09-10 10:17:55,67,4.1,18.5,0,2190,3,5,True,,
MEDICAL2,Lifeline Express,Medical,2,False,2023-09-10 07:07:05,2023-09-10 07:09:11,55,5.4,12.9,0,1920,1,3,True,,
ARMY12,Army Supply Special,Military,19,False,2023-09-10 08:34:27,2023-09-10 08:34:54,81,23.4,31.0,0,609,18,20,True,,
98765,Kirti-Sarai Passenger,Passenger,6,False,2023-09-10 06:23:29,2023-09-10 06:24:59,56,21.4,25.4,0,1399,5,7,True,,
76543,Gurugram SF 2,Superfast,3,False,2023-09-10 07:01:38,2023-09-10 07:02:16,79,6.1,35.6,0,834,2,4,True,,
