TrainNo,TrainName,TrainType,BlockNo,IB,ETANS,ETADS,CurrentSpeed,DFNS,CurrentDelay,DwellTime,BlockLen,ApproachingBlockNo,AdvanceBlockNo,RunningStatus,HaltStation,PFNo
MEDICAL1,Sanjeevani Medical Express,Medical,14,FALSE,2023-09-10 07:03:00,2023-09-10 06:20:00,46,18.1,21.3,0,765,13,15,TRUE,NA,NA
14789,Dayabasti Local,Passenger,3,FALSE,2023-09-10 09:42:00,2023-09-10 07:42:00,100,16.8,4.2,0,1753,2,4,TRUE,NA,NA
99999,Kirti Nagar Express,Express,6,FALSE,2023-09-10 06:46:00,2023-09-10 07:10:00,44,40.7,29.3,0,1750,5,7,TRUE,NA,NA
76543,Gurugram SF 2,Superfast,9,TRUE,2023-09-10 08:12:00,2023-09-10 07:30:00,0,34.3,36.8,275,1848,8,10,TRUE,Kirti Nagar,2
MEDICAL2,Lifeline Express,Medical,11,FALSE,2023-09-10 06:05:00,2023-09-10 06:46:00,83,8.4,15.6,0,1670,10,12,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,24,TRUE,2023-09-10 08:45:00,2023-09-10 11:00:00,0,31.7,26.9,73,1138,23,25,TRUE,Delhi Sarai Rohilla,4
12016,Delhi Sarai Rohilla Express,Express,11,FALSE,2023-09-10 06:46:00,2023-09-10 09:07:00,50,42.0,20.5,0,1951,10,12,TRUE,NA,NA
11223,Capital Express,Express,19,FALSE,2023-09-10 08:31:00,2023-09-10 09:33:00,89,39.5,0.3,0,1576,18,20,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,17,TRUE,2023-09-10 07:36:00,2023-09-10 09:53:00,0,29.7,14.3,253,1820,16,18,TRUE,Shakur Basti,4
12016,Delhi Sarai Rohilla Express,Express,3,FALSE,2023-09-10 09:43:00,2023-09-10 07:05:00,106,39.1,26.6,0,966,2,4,TRUE,NA,NA
11223,Capital Express,Express,16,FALSE,2023-09-10 09:35:00,2023-09-10 06:04:00,41,18.2,37.8,0,1794,15,17,FALSE,NA,NA
MEDICAL2,Lifeline Express,Medical,17,FALSE,2023-09-10 09:07:00,2023-09-10 06:31:00,108,14.1,7.8,0,1285,16,18,TRUE,NA,NA
ARMY24,Army Special,Military,21,TRUE,2023-09-10 09:02:00,2023-09-10 07:33:00,0,9.1,27.9,123,1811,20,22,FALSE,Delhi Sarai Rohilla,1
14567,Patel Nagar Passenger,Passenger,10,FALSE,2023-09-10 08:20:00,2023-09-10 08:48:00,47,1.3,30.1,0,1078,9,11,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,21,FALSE,2023-09-10 10:44:00,2023-09-10 07:04:00,91,11.5,12.0,0,1434,20,22,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,21,FALSE,2023-09-10 06:24:00,2023-09-10 07:19:00,46,42.0,10.9,0,1527,20,22,TRUE,NA,NA
14789,Dayabasti Local,Passenger,12,TRUE,2023-09-10 10:54:00,2023-09-10 08:01:00,0,36.0,35.9,114,1763,11,13,TRUE,Patel Nagar,2
12016,Delhi Sarai Rohilla Express,Express,2,FALSE,2023-09-10 08:06:00,2023-09-10 07:06:00,95,19.6,33.8,0,467,1,3,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,8,FALSE,2023-09-10 10:01:00,2023-09-10 07:24:00,57,41.3,4.8,0,867,7,9,TRUE,NA,NA
ARMY12,Army Supply Special,Military,14,FALSE,2023-09-10 07:03:00,2023-09-10 07:05:00,67,43.5,31.2,0,757,13,15,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,21,FALSE,2023-09-10 07:15:00,2023-09-10 06:59:00,40,8.9,19.5,0,1608,20,22,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,21,TRUE,2023-09-10 06:17:00,2023-09-10 10:36:00,0,20.5,13.2,197,871,20,22,TRUE,Delhi Sarai Rohilla,3
12016,Delhi Sarai Rohilla Express,Express,13,FALSE,2023-09-10 08:35:00,2023-09-10 09:41:00,103,37.4,0.3,0,1292,12,14,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,20,FALSE,2023-09-10 06:10:00,2023-09-10 07:17:00,95,32.5,30.0,0,809,19,21,TRUE,NA,NA
ARMY12,Army Supply Special,Military,24,TRUE,2023-09-10 10:11:00,2023-09-10 09:59:00,0,27.6,31.8,96,2493,23,25,TRUE,Delhi Sarai Rohilla,4
12015,Gurugram Superfast,Superfast,6,FALSE,2023-09-10 07:42:00,2023-09-10 06:11:00,58,36.7,43.4,0,2254,5,7,TRUE,NA,NA
99999,Kirti Nagar Express,Express,19,FALSE,2023-09-10 06:00:00,2023-09-10 09:47:00,102,6.5,16.7,0,1846,18,20,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,6,FALSE,2023-09-10 06:39:00,2023-09-10 06:19:00,47,21.2,40.7,0,458,5,7,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,7,FALSE,2023-09-10 07:57:00,2023-09-10 09:20:00,48,15.7,28.6,0,2153,6,8,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,10,FALSE,2023-09-10 08:26:00,2023-09-10 07:40:00,48,23.5,13.7,0,2011,9,11,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,11,FALSE,2023-09-10 08:12:00,2023-09-10 09:06:00,76,11.8,29.6,0,602,10,12,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,7,FALSE,2023-09-10 10:08:00,2023-09-10 06:14:00,58,23.6,16.2,0,2278,6,8,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,1,FALSE,2023-09-10 08:08:00,2023-09-10 09:41:00,86,29.4,23.8,0,1023,0,2,TRUE,NA,NA
14789,Dayabasti Local,Passenger,14,FALSE,2023-09-10 07:07:00,2023-09-10 08:38:00,90,10.9,28.5,0,474,13,15,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,2,FALSE,2023-09-10 06:16:00,2023-09-10 06:42:00,103,0.2,43.6,0,764,1,3,TRUE,NA,NA
ARMY12,Army Supply Special,Military,16,FALSE,2023-09-10 08:27:00,2023-09-10 10:54:00,83,19.7,13.9,0,427,15,17,TRUE,NA,NA
11223,Capital Express,Express,16,FALSE,2023-09-10 07:30:00,2023-09-10 09:08:00,59,11.0,26.8,0,1862,15,17,FALSE,NA,NA
22345,Old Delhi Passenger,Passenger,17,FALSE,2023-09-10 09:32:00,2023-09-10 09:56:00,96,28.1,35.8,0,527,16,18,TRUE,NA,NA
14789,Dayabasti Local,Passenger,2,FALSE,2023-09-10 10:41:00,2023-09-10 10:47:00,71,14.5,0.8,0,1961,1,3,TRUE,NA,NA
99999,Kirti Nagar Express,Express,13,TRUE,2023-09-10 06:01:00,2023-09-10 06:31:00,0,46.1,16.2,97,2051,12,14,TRUE,Dayabasti,3
11223,Capital Express,Express,9,TRUE,2023-09-10 09:21:00,2023-09-10 07:15:00,0,25.5,20.9,232,1719,8,10,FALSE,Kirti Nagar,4
12016,Delhi Sarai Rohilla Express,Express,11,FALSE,2023-09-10 08:30:00,2023-09-10 06:41:00,73,0.3,12.8,0,459,10,12,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,11,FALSE,2023-09-10 07:03:00,2023-09-10 07:29:00,103,47.3,11.0,0,1158,10,12,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,13,FALSE,2023-09-10 10:32:00,2023-09-10 07:31:00,59,14.6,24.6,0,2499,12,14,TRUE,NA,NA
99999,Kirti Nagar Express,Express,5,FALSE,2023-09-10 08:50:00,2023-09-10 07:09:00,86,13.3,44.9,0,1594,4,6,TRUE,NA,NA
11223,Capital Express,Express,7,FALSE,2023-09-10 10:24:00,2023-09-10 07:15:00,93,29.1,42.5,0,938,6,8,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,4,FALSE,2023-09-10 09:43:00,2023-09-10 10:46:00,48,9.9,37.8,0,2396,3,5,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,13,FALSE,2023-09-10 09:28:00,2023-09-10 07:39:00,44,9.4,25.0,0,847,12,14,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,10,FALSE,2023-09-10 09:16:00,2023-09-10 10:29:00,72,42.5,31.6,0,709,9,11,TRUE,NA,NA
ARMY12,Army Supply Special,Military,12,FALSE,2023-09-10 10:57:00,2023-09-10 06:38:00,87,18.5,5.4,0,1057,11,13,TRUE,NA,NA
11223,Capital Express,Express,2,TRUE,2023-09-10 10:04:00,2023-09-10 10:25:00,0,18.4,39.3,263,1432,1,3,FALSE,Gurugram,4
98765,Kirti-Sarai Passenger,Passenger,2,FALSE,2023-09-10 07:45:00,2023-09-10 06:32:00,54,34.9,37.0,0,741,1,3,TRUE,NA,NA
ARMY12,Army Supply Special,Military,20,FALSE,2023-09-10 09:08:00,2023-09-10 07:24:00,82,30.0,19.2,0,1533,19,21,TRUE,NA,NA
99999,Kirti Nagar Express,Express,7,FALSE,2023-09-10 09:04:00,2023-09-10 09:28:00,51,44.5,1.5,0,1443,6,8,TRUE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,24,FALSE,2023-09-10 06:01:00,2023-09-10 08:48:00,51,38.1,33.1,0,2433,23,25,TRUE,NA,NA
ARMY12,Army Supply Special,Military,2,FALSE,2023-09-10 09:00:00,2023-09-10 08:36:00,91,29.2,44.8,0,1196,1,3,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,1,TRUE,2023-09-10 10:35:00,2023-09-10 09:37:00,0,35.7,14.4,177,2050,0,2,TRUE,Gurugram,4
MEDICAL2,Lifeline Express,Medical,15,FALSE,2023-09-10 09:29:00,2023-09-10 06:56:00,70,49.6,8.9,0,745,14,16,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,12,FALSE,2023-09-10 07:45:00,2023-09-10 09:08:00,78,6.9,0.6,0,2036,11,13,TRUE,NA,NA
22345,Old Delhi Passenger,Passenger,22,FALSE,2023-09-10 10:01:00,2023-09-10 09:01:00,55,13.4,5.2,0,526,21,23,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,1,FALSE,2023-09-10 07:39:00,2023-09-10 07:42:00,75,2.6,37.4,0,1386,0,2,TRUE,NA,NA
ARMY24,Army Special,Military,18,TRUE,2023-09-10 09:26:00,2023-09-10 08:32:00,0,37.3,27.3,0,2451,17,19,FALSE,NA,NA
99999,Kirti Nagar Express,Express,10,FALSE,2023-09-10 10:37:00,2023-09-10 08:17:00,48,30.2,29.6,0,1484,9,11,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,14,FALSE,2023-09-10 09:05:00,2023-09-10 08:45:00,85,23.0,8.7,0,927,13,15,TRUE,NA,NA
ARMY24,Army Special,Military,10,TRUE,2023-09-10 08:04:00,2023-09-10 06:23:00,0,3.9,1.6,93,2485,9,11,FALSE,Patel Nagar,4
ARMY24,Army Special,Military,11,FALSE,2023-09-10 06:13:00,2023-09-10 07:58:00,47,39.1,18.9,0,1860,10,12,FALSE,NA,NA
22345,Old Delhi Passenger,Passenger,17,FALSE,2023-09-10 08:01:00,2023-09-10 10:42:00,100,17.5,7.2,0,2065,16,18,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,23,FALSE,2023-09-10 09:21:00,2023-09-10 09:50:00,91,47.0,31.5,0,1991,22,24,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,10,FALSE,2023-09-10 06:36:00,2023-09-10 07:16:00,58,18.0,7.4,0,1292,9,11,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,2,TRUE,2023-09-10 07:52:00,2023-09-10 06:34:00,0,5.4,14.6,162,1468,1,3,TRUE,Gurugram,5
99999,Kirti Nagar Express,Express,17,FALSE,2023-09-10 08:21:00,2023-09-10 07:51:00,87,44.2,37.9,0,2464,16,18,TRUE,NA,NA
99999,Kirti Nagar Express,Express,8,FALSE,2023-09-10 09:56:00,2023-09-10 06:26:00,67,13.1,29.9,0,1738,7,9,TRUE,NA,NA
11223,Capital Express,Express,4,TRUE,2023-09-10 07:07:00,2023-09-10 06:45:00,0,28.7,12.8,120,1273,3,5,FALSE,Gurugram,6
99999,Kirti Nagar Express,Express,5,FALSE,2023-09-10 10:31:00,2023-09-10 08:39:00,62,22.6,1.3,0,1834,4,6,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,12,FALSE,2023-09-10 10:32:00,2023-09-10 10:34:00,101,24.1,30.8,0,1585,11,13,TRUE,NA,NA
ARMY24,Army Special,Military,19,FALSE,2023-09-10 09:21:00,2023-09-10 09:59:00,45,28.6,38.9,0,533,18,20,FALSE,NA,NA
12015,Gurugram Superfast,Superfast,8,FALSE,2023-09-10 09:28:00,2023-09-10 07:08:00,57,40.1,15.0,0,1006,7,9,TRUE,NA,NA
11223,Capital Express,Express,22,FALSE,2023-09-10 06:59:00,2023-09-10 09:56:00,41,33.4,38.0,0,1915,21,23,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,13,FALSE,2023-09-10 10:04:00,2023-09-10 09:02:00,52,10.6,40.7,0,2343,12,14,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,13,FALSE,2023-09-10 09:57:00,2023-09-10 08:42:00,44,26.6,5.5,0,2426,12,14,TRUE,NA,NA
11223,Capital Express,Express,4,FALSE,2023-09-10 07:02:00,2023-09-10 06:07:00,100,8.0,30.3,0,2410,3,5,FALSE,NA,NA
99999,Kirti Nagar Express,Express,15,FALSE,2023-09-10 06:32:00,2023-09-10 08:24:00,87,0.9,40.8,0,1903,14,16,TRUE,NA,NA
11223,Capital Express,Express,11,FALSE,2023-09-10 10:11:00,2023-09-10 09:16:00,73,42.2,42.6,0,1087,10,12,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,22,FALSE,2023-09-10 08:34:00,2023-09-10 08:21:00,59,3.8,19.6,0,2390,21,23,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,2,FALSE,2023-09-10 06:37:00,2023-09-10 10:59:00,85,29.3,36.9,0,1890,1,3,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,15,FALSE,2023-09-10 09:12:00,2023-09-10 06:45:00,90,3.4,10.0,0,530,14,16,TRUE,NA,NA
22345,Old Delhi Passenger,Passenger,15,FALSE,2023-09-10 10:36:00,2023-09-10 10:43:00,108,36.7,23.7,0,1379,14,16,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,20,FALSE,2023-09-10 10:16:00,2023-09-10 07:54:00,53,39.6,32.2,0,1537,19,21,TRUE,NA,NA
12015,Gurugram Superfast,Superfast,15,FALSE,2023-09-10 07:15:00,2023-09-10 10:12:00,97,47.1,20.8,0,2380,14,16,TRUE,NA,NA
76543,Gurugram SF 2,Superfast,19,FALSE,2023-09-10 09:48:00,2023-09-10 08:28:00,45,39.6,14.1,0,2065,18,20,TRUE,NA,NA
11223,Capital Express,Express,20,TRUE,2023-09-10 10:15:00,2023-09-10 10:55:00,0,30.2,1.1,252,1502,19,21,FALSE,Delhi Sarai Rohilla,3
ARMY24,Army Special,Military,25,FALSE,2023-09-10 10:39:00,2023-09-10 08:10:00,62,32.6,39.6,0,2242,24,0,FALSE,NA,NA
11223,Capital Express,Express,10,FALSE,2023-09-10 08:11:00,2023-09-10 07:51:00,57,26.9,28.6,0,1070,9,11,FALSE,NA,NA
76543,Gurugram SF 2,Superfast,3,FALSE,2023-09-10 07:48:00,2023-09-10 06:50:00,53,5.6,34.4,0,730,2,4,TRUE,NA,NA
99999,Kirti Nagar Express,Express,13,FALSE,2023-09-10 10:03:00,2023-09-10 07:03:00,82,48.5,37.9,0,615,12,14,TRUE,NA,NA
11223,Capital Express,Express,14,FALSE,2023-09-10 08:38:00,2023-09-10 07:10:00,77,14.8,33.4,0,2226,13,15,FALSE,NA,NA
MEDICAL2,Lifeline Express,Medical,14,FALSE,2023-09-10 07:38:00,2023-09-10 07:59:00,84,49.7,37.1,0,1125,13,15,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,8,FALSE,2023-09-10 06:31:00,2023-09-10 06:46:00,103,47.8,26.2,0,1584,7,9,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,18,FALSE,2023-09-10 06:51:00,2023-09-10 09:53:00,101,45.4,40.3,0,1373,17,19,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,6,TRUE,2023-09-10 08:44:00,2023-09-10 10:30:00,0,49.2,44.6,196,2384,5,7,TRUE,Kirti Nagar,2
14567,Patel Nagar Passenger,Passenger,20,FALSE,2023-09-10 07:35:00,2023-09-10 08:47:00,77,30.4,36.6,0,1867,19,21,TRUE,NA,NA
11223,Capital Express,Express,14,FALSE,2023-09-10 09:23:00,2023-09-10 06:24:00,74,0.1,31.7,0,945,13,15,FALSE,NA,NA
MEDICAL1,Sanjeevani Medical Express,Medical,12,FALSE,2023-09-10 08:16:00,2023-09-10 06:27:00,87,21.8,32.4,0,1898,11,13,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,20,FALSE,2023-09-10 07:06:00,2023-09-10 06:28:00,53,1.9,28.4,0,1014,19,21,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,22,TRUE,2023-09-10 07:59:00,2023-09-10 06:59:00,0,48.4,22.7,182,2439,21,23,TRUE,Delhi Sarai Rohilla,2
ARMY12,Army Supply Special,Military,18,FALSE,2023-09-10 09:11:00,2023-09-10 10:40:00,43,4.1,26.3,0,753,17,19,TRUE,NA,NA
99999,Kirti Nagar Express,Express,21,FALSE,2023-09-10 07:16:00,2023-09-10 08:40:00,65,37.5,17.4,0,960,20,22,TRUE,NA,NA
14789,Dayabasti Local,Passenger,7,FALSE,2023-09-10 08:44:00,2023-09-10 09:18:00,53,1.3,19.3,0,1543,6,8,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,25,FALSE,2023-09-10 08:49:00,2023-09-10 06:49:00,105,4.3,43.5,0,2175,24,0,TRUE,NA,NA
22345,Old Delhi Passenger,Passenger,21,FALSE,2023-09-10 08:46:00,2023-09-10 06:32:00,78,29.7,29.9,0,436,20,22,TRUE,NA,NA
99999,Kirti Nagar Express,Express,9,FALSE,2023-09-10 10:53:00,2023-09-10 09:05:00,87,29.8,42.8,0,1386,8,10,TRUE,NA,NA
22345,Old Delhi Passenger,Passenger,9,TRUE,2023-09-10 08:00:00,2023-09-10 09:28:00,0,8.5,23.9,143,625,8,10,TRUE,Kirti Nagar,3
22345,Old Delhi Passenger,Passenger,16,FALSE,2023-09-10 10:03:00,2023-09-10 10:19:00,110,49.4,28.3,0,2191,15,17,TRUE,NA,NA
ARMY12,Army Supply Special,Military,10,FALSE,2023-09-10 07:41:00,2023-09-10 10:56:00,82,26.2,12.8,0,437,9,11,TRUE,NA,NA
14567,Patel Nagar Passenger,Passenger,17,FALSE,2023-09-10 09:08:00,2023-09-10 09:44:00,95,14.7,40.0,0,1355,16,18,TRUE,NA,NA
ARMY24,Army Special,Military,2,TRUE,2023-09-10 10:12:00,2023-09-10 06:18:00,0,18.4,19.7,73,1228,1,3,FALSE,Gurugram,6
99999,Kirti Nagar Express,Express,9,TRUE,2023-09-10 07:47:00,2023-09-10 07:09:00,0,46.2,17.8,241,874,8,10,TRUE,Kirti Nagar,6
22345,Old Delhi Passenger,Passenger,4,FALSE,2023-09-10 10:44:00,2023-09-10 10:50:00,99,15.7,18.0,0,2413,3,5,TRUE,NA,NA
99999,Kirti Nagar Express,Express,8,FALSE,2023-09-10 10:41:00,2023-09-10 09:39:00,104,29.0,35.2,0,1940,7,9,TRUE,NA,NA
MEDICAL2,Lifeline Express,Medical,19,FALSE,2023-09-10 06:16:00,2023-09-10 09:13:00,60,5.2,13.1,0,690,18,20,TRUE,NA,NA
98765,Kirti-Sarai Passenger,Passenger,11,FALSE,2023-09-10 08:12:00,2023-09-10 09:01:00,42,0.5,24.6,0,1919,10,12,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,11,FALSE,2023-09-10 09:30:00,2023-09-10 08:05:00,103,28.7,39.2,0,2012,10,12,TRUE,NA,NA
12016,Delhi Sarai Rohilla Express,Express,12,FALSE,2023-09-10 10:48:00,2023-09-10 08:41:00,81,45.7,42.2,0,2468,11,13,TRUE,NA,NA
11223,Capital Express,Express,13,FALSE,2023-09-10 10:52:00,2023-09-10 08:07:00,81,18.0,20.0,0,442,12,14,FALSE,NA,NA
MEDICAL2,Lifeline Express,Medical,3,FALSE,2023-09-10 06:15:00,2023-09-10 06:44:00,99,49.5,32.6,0,1205,2,4,TRUE,NA,NA
11223,Capital Express,Express,15,TRUE,2023-09-10 09:27:00,2023-09-10 07:15:00,0,43.3,41.8,72,1688,14,16,FALSE,Shakur Basti,5
