Train_type,Train_name,Train_no,block_no,IB(boolean),ETA_NS,ETA_DS,current_speed,DFNS,current delay,dwell time,time_delay,block_len,Approaching_block_no,advance_block_no,running_status(bool),halt_station,PF_no,Station_name,Total_platforms,free_platforms,starter_signal,home_signal,block_type,block_status,adv_starter_signal(bool)
Shatabdi,Train_16460,16460,200,True,2025-09-11 10:02:00,2025-09-11 11:19:00,71,5.11,52,113,58,227,199,200,False,STN_34,3,STN_34,10,3,False,False,Yard,Free,True
Passenger,Train_19172,19172,154,True,2025-09-11 10:21:00,2025-09-11 11:20:00,64,9.93,0,117,16,1610,155,159,True,STN_27,5,STN_27,11,6,False,True,Yard,Under_Maintenance,False
Vande Bharat,Train_19078,19078,183,False,2025-09-11 10:17:00,2025-09-11 12:30:00,52,17.75,39,13,57,1562,184,187,False,STN_36,3,STN_36,5,3,True,False,Loop,Occupied,True
Superfast,Train_21891,21891,118,False,2025-09-11 10:05:00,2025-09-11 13:37:00,61,23.28,0,31,29,1606,119,121,True,STN_42,6,STN_42,6,3,True,False,Loop,Under_Maintenance,False
Express,Train_13496,13496,134,False,2025-09-11 10:13:00,2025-09-11 10:46:00,76,9.82,80,77,6,1132,135,135,True,STN_31,5,STN_31,5,5,False,False,Main,Under_Maintenance,True
Shatabdi,Train_16415,16415,170,False,2025-09-11 10:04:00,2025-09-11 12:54:00,61,17.5,74,54,41,1246,171,175,True,STN_48,5,STN_48,6,5,False,False,Yard,Under_Maintenance,True
Rajdhani,Train_14870,14870,73,False,2025-09-11 10:23:00,2025-09-11 11:40:00,88,8.16,106,135,6,234,74,77,False,STN_29,2,STN_29,9,7,True,False,Main,Under_Maintenance,True
Express,Train_16557,16557,87,False,2025-09-11 10:16:00,2025-09-11 12:18:00,45,12.35,94,64,20,1170,88,90,False,STN_22,5,STN_22,12,9,True,True,Main,Occupied,True
Rajdhani,Train_22400,22400,168,False,2025-09-11 10:04:00,2025-09-11 10:30:00,55,13.27,0,122,9,1781,169,173,True,STN_22,4,STN_22,12,9,True,True,Yard,Free,True
Superfast,Train_19700,19700,15,False,2025-09-11 10:11:00,2025-09-11 11:40:00,62,11.53,100,43,20,1654,16,17,False,STN_46,6,STN_46,6,0,True,False,Main,Under_Maintenance,False
Superfast,Train_17460,17460,7,False,2025-09-11 10:33:00,2025-09-11 12:35:00,70,6.73,6,35,16,1341,8,11,True,STN_31,4,STN_31,5,5,False,False,Main,Under_Maintenance,True
Superfast,Train_14634,14634,100,True,2025-09-11 10:24:00,2025-09-11 13:22:00,77,9.09,80,53,45,751,101,105,False,STN_24,4,STN_24,12,10,False,False,Main,Under_Maintenance,False
Superfast,Train_20117,20117,88,True,2025-09-11 10:30:00,2025-09-11 13:16:00,74,12.12,106,65,34,293,89,92,False,STN_9,3,STN_9,3,3,False,False,Loop,Occupied,True
Passenger,Train_21012,21012,92,False,2025-09-11 10:10:00,2025-09-11 12:18:00,54,6.16,0,210,53,1432,93,97,False,STN_33,2,STN_33,6,6,True,False,Loop,Occupied,False
Superfast,Train_13442,13442,76,True,2025-09-11 10:17:00,2025-09-11 10:38:00,57,5.2,51,49,8,602,77,79,False,STN_23,6,STN_23,7,1,True,False,Loop,Under_Maintenance,False
Passenger,Train_17296,17296,144,True,2025-09-11 10:11:00,2025-09-11 12:19:00,46,1.62,105,148,57,1469,145,147,False,STN_28,11,STN_28,11,10,False,True,Yard,Occupied,False
Passenger,Train_20431,20431,23,True,2025-09-11 10:10:00,2025-09-11 11:58:00,76,2.94,21,115,14,1901,24,26,False,STN_8,4,STN_8,6,2,False,False,Loop,Under_Maintenance,False
Passenger,Train_18770,18770,85,False,2025-09-11 10:03:00,2025-09-11 10:33:00,68,8.29,0,78,37,1878,86,88,True,STN_33,4,STN_33,6,6,True,False,Main,Free,True
Superfast,Train_20494,20494,31,False,2025-09-11 10:20:00,2025-09-11 12:14:00,44,9.66,0,28,55,1766,32,36,False,STN_17,2,STN_17,8,3,True,True,Yard,Occupied,True
Rajdhani,Train_22246,22246,121,True,2025-09-11 10:05:00,2025-09-11 11:10:00,62,10.1,59,103,7,1644,122,125,True,STN_42,5,STN_42,6,3,True,False,Yard,Free,True
Superfast,Train_15335,15335,77,False,2025-09-11 10:16:00,2025-09-11 11:29:00,51,11.93,0,56,55,2163,78,79,True,STN_41,3,STN_41,10,0,True,False,Main,Under_Maintenance,True
Rajdhani,Train_16719,16719,52,False,2025-09-11 10:16:00,2025-09-11 10:24:00,47,21.03,35,83,36,1312,53,56,False,STN_23,2,STN_23,7,1,True,False,Yard,Free,True
Passenger,Train_13989,13989,81,True,2025-09-11 10:22:00,2025-09-11 12:07:00,57,2.68,0,91,31,1534,82,84,True,STN_29,3,STN_29,9,7,True,False,Yard,Occupied,False
Superfast,Train_14594,14594,81,True,2025-09-11 10:04:00,2025-09-11 14:04:00,79,9.39,0,62,28,1856,82,84,True,STN_44,4,STN_44,9,8,False,False,Yard,Occupied,False
Rajdhani,Train_21048,21048,195,True,2025-09-11 10:09:00,2025-09-11 12:03:00,24,0.4,78,105,48,1422,196,197,True,STN_37,4,STN_37,7,5,False,False,Loop,Free,False
Passenger,Train_15681,15681,196,True,2025-09-11 10:15:00,2025-09-11 12:27:00,48,7.89,0,127,39,1598,197,200,False,STN_38,11,STN_38,11,0,True,True,Yard,Occupied,True
Vande Bharat,Train_13924,13924,110,False,2025-09-11 10:27:00,2025-09-11 11:57:00,59,14.76,40,55,30,1374,111,114,True,STN_40,1,STN_40,11,3,False,False,Main,Occupied,False
Vande Bharat,Train_20165,20165,10,True,2025-09-11 10:39:00,2025-09-11 10:43:00,62,4.28,118,52,23,1556,11,11,False,STN_35,6,STN_35,8,0,False,False,Main,Free,False
Vande Bharat,Train_20337,20337,194,True,2025-09-11 10:44:00,2025-09-11 12:05:00,47,7.18,0,58,43,1944,195,195,False,STN_18,3,STN_18,3,1,True,True,Yard,Occupied,False
Rajdhani,Train_18807,18807,188,True,2025-09-11 10:12:00,2025-09-11 13:03:00,57,3.5,0,106,44,1570,189,191,False,STN_41,5,STN_41,10,0,True,False,Main,Under_Maintenance,False
Rajdhani,Train_15993,15993,34,True,2025-09-11 10:27:00,2025-09-11 10:55:00,58,12.02,29,118,32,864,35,39,True,STN_1,3,STN_1,5,1,False,True,Main,Under_Maintenance,False
Express,Train_18284,18284,43,True,2025-09-11 10:09:00,2025-09-11 14:14:00,49,3.42,0,44,19,1467,44,46,True,STN_11,8,STN_11,9,9,True,True,Main,Under_Maintenance,True
Superfast,Train_13143,13143,187,False,2025-09-11 10:44:00,2025-09-11 13:10:00,47,13.0,42,53,56,1525,188,189,False,STN_45,6,STN_45,10,4,False,False,Main,Occupied,True
Shatabdi,Train_17568,17568,126,False,2025-09-11 10:00:00,2025-09-11 12:24:00,94,11.28,0,74,10,1343,127,130,False,STN_36,1,STN_36,5,3,True,False,Yard,Under_Maintenance,False
Superfast,Train_12042,12042,59,True,2025-09-11 10:56:00,2025-09-11 12:36:00,50,12.47,117,40,8,1309,60,61,False,STN_44,1,STN_44,9,8,False,False,Main,Under_Maintenance,True
Shatabdi,Train_21616,21616,151,True,2025-09-11 10:02:00,2025-09-11 10:15:00,73,7.23,0,70,23,2155,152,152,False,STN_16,4,STN_16,4,3,True,True,Loop,Occupied,False
Rajdhani,Train_14434,14434,164,False,2025-09-11 10:39:00,2025-09-11 13:44:00,77,1.63,67,83,39,800,165,165,False,STN_12,1,STN_12,9,2,False,True,Yard,Occupied,False
Superfast,Train_17654,17654,170,True,2025-09-11 10:07:00,2025-09-11 11:30:00,66,9.87,98,32,53,1175,171,171,False,STN_18,1,STN_18,3,1,True,True,Yard,Under_Maintenance,True
Superfast,Train_19460,19460,177,True,2025-09-11 10:15:00,2025-09-11 14:03:00,52,8.16,37,42,28,1450,178,181,True,STN_20,2,STN_20,10,10,True,True,Yard,Free,True
Shatabdi,Train_15912,15912,141,False,2025-09-11 10:11:00,2025-09-11 12:40:00,60,10.34,52,57,44,2626,142,143,False,STN_21,4,STN_21,10,4,False,True,Yard,Occupied,True
Rajdhani,Train_15826,15826,178,True,2025-09-11 10:17:00,2025-09-11 11:36:00,57,12.21,8,106,26,1433,179,179,True,STN_12,9,STN_12,9,2,False,True,Loop,Under_Maintenance,False
Vande Bharat,Train_17213,17213,70,True,2025-09-11 10:46:00,2025-09-11 14:56:00,43,6.38,38,27,53,1846,71,71,False,STN_12,9,STN_12,9,2,False,True,Main,Occupied,True
Rajdhani,Train_18246,18246,185,True,2025-09-11 10:29:00,2025-09-11 12:16:00,44,13.14,3,91,7,1878,186,186,True,STN_16,4,STN_16,4,3,True,True,Loop,Occupied,True
Passenger,Train_20115,20115,51,True,2025-09-11 10:24:00,2025-09-11 11:09:00,46,5.5,0,139,53,1252,52,56,True,STN_8,2,STN_8,6,2,False,False,Loop,Free,False
Shatabdi,Train_20229,20229,92,False,2025-09-11 10:25:00,2025-09-11 15:22:00,46,5.99,6,80,10,1005,93,93,False,STN_20,9,STN_20,10,10,True,True,Loop,Occupied,False
Rajdhani,Train_13644,13644,128,True,2025-09-11 10:14:00,2025-09-11 11:26:00,48,8.93,107,105,59,1990,129,132,True,STN_41,6,STN_41,10,0,True,False,Main,Free,False
Rajdhani,Train_20617,20617,61,True,2025-09-11 10:20:00,2025-09-11 12:57:00,64,18.2,0,95,42,1935,62,62,True,STN_26,1,STN_26,7,1,True,False,Main,Under_Maintenance,True
Rajdhani,Train_14361,14361,147,False,2025-09-11 10:03:00,2025-09-11 13:57:00,59,6.0,0,77,60,1645,148,148,True,STN_9,3,STN_9,3,3,False,False,Loop,Free,False
Rajdhani,Train_13225,13225,20,True,2025-09-11 10:20:00,2025-09-11 10:22:00,57,16.08,0,72,41,1799,21,22,False,STN_28,8,STN_28,11,10,False,True,Main,Under_Maintenance,True
Shatabdi,Train_17546,17546,76,False,2025-09-11 10:11:00,2025-09-11 10:29:00,53,9.46,49,117,3,1758,77,77,False,STN_45,3,STN_45,10,4,False,False,Loop,Under_Maintenance,False
Passenger,Train_22646,22646,11,False,2025-09-11 10:24:00,2025-09-11 10:51:00,80,7.42,23,105,51,763,12,14,False,STN_6,7,STN_6,10,0,False,False,Loop,Occupied,True
Rajdhani,Train_20742,20742,190,True,2025-09-11 10:08:00,2025-09-11 11:13:00,84,14.78,0,104,54,1740,191,191,False,STN_48,1,STN_48,6,5,False,False,Main,Occupied,True
Vande Bharat,Train_22269,22269,36,True,2025-09-11 10:19:00,2025-09-11 12:01:00,56,9.28,15,11,22,1814,37,40,False,STN_11,5,STN_11,9,9,True,True,Loop,Under_Maintenance,False
Passenger,Train_20864,20864,188,True,2025-09-11 10:46:00,2025-09-11 12:29:00,41,19.64,26,118,52,699,189,191,True,STN_47,2,STN_47,4,4,True,True,Main,Under_Maintenance,False
Vande Bharat,Train_15846,15846,30,False,2025-09-11 10:16:00,2025-09-11 11:24:00,69,14.77,33,32,29,1489,31,33,False,STN_5,7,STN_5,12,11,True,False,Loop,Under_Maintenance,True
Vande Bharat,Train_15727,15727,177,False,2025-09-11 10:05:00,2025-09-11 10:32:00,64,7.67,38,33,41,1642,178,179,True,STN_26,1,STN_26,7,1,True,False,Yard,Free,True
Passenger,Train_19110,19110,34,True,2025-09-11 10:30:00,2025-09-11 14:19:00,80,5.53,0,54,6,1334,35,38,True,STN_7,8,STN_7,9,6,True,False,Main,Under_Maintenance,False
Express,Train_19269,19269,146,False,2025-09-11 10:06:00,2025-09-11 14:37:00,39,10.92,0,70,39,626,147,150,False,STN_20,6,STN_20,10,10,True,True,Loop,Free,True
Passenger,Train_12474,12474,157,True,2025-09-11 10:27:00,2025-09-11 12:39:00,63,12.29,106,98,56,375,158,159,False,STN_43,8,STN_43,12,5,False,False,Main,Free,False
Superfast,Train_12919,12919,125,True,2025-09-11 10:00:00,2025-09-11 14:25:00,68,9.4,36,55,28,1275,126,126,False,STN_42,1,STN_42,6,3,True,False,Yard,Occupied,True
Rajdhani,Train_18141,18141,67,False,2025-09-11 10:11:00,2025-09-11 13:26:00,59,5.27,0,113,45,1569,68,72,True,STN_27,10,STN_27,11,6,False,True,Yard,Under_Maintenance,False
Shatabdi,Train_16000,16000,186,True,2025-09-11 10:46:00,2025-09-11 13:18:00,43,1.03,102,75,55,1245,187,189,False,STN_20,9,STN_20,10,10,True,True,Main,Under_Maintenance,True
Vande Bharat,Train_21272,21272,134,True,2025-09-11 10:10:00,2025-09-11 10:42:00,65,5.37,41,62,42,1577,135,136,True,STN_9,2,STN_9,3,3,False,False,Main,Under_Maintenance,True
Express,Train_14785,14785,89,False,2025-09-11 10:04:00,2025-09-11 11:09:00,72,13.4,0,46,53,1625,90,94,True,STN_43,10,STN_43,12,5,False,False,Main,Occupied,True
Rajdhani,Train_21985,21985,14,True,2025-09-11 10:40:00,2025-09-11 12:06:00,64,7.66,95,58,59,1301,15,16,True,STN_19,9,STN_19,12,2,True,True,Loop,Occupied,False
Shatabdi,Train_20153,20153,121,False,2025-09-11 10:45:00,2025-09-11 11:52:00,64,0.21,0,66,4,1021,122,125,True,STN_26,3,STN_26,7,1,True,False,Yard,Free,True
Rajdhani,Train_15804,15804,62,False,2025-09-11 10:49:00,2025-09-11 13:45:00,72,8.0,2,117,3,1941,63,67,False,STN_28,4,STN_28,11,10,False,True,Main,Under_Maintenance,False
Superfast,Train_19529,19529,141,False,2025-09-11 10:26:00,2025-09-11 11:12:00,72,5.75,34,17,52,1322,142,143,True,STN_37,1,STN_37,7,5,False,False,Yard,Occupied,True
Superfast,Train_19622,19622,118,False,2025-09-11 10:20:00,2025-09-11 14:19:00,54,1.29,77,33,28,1220,119,119,True,STN_49,8,STN_49,12,12,False,True,Loop,Under_Maintenance,False
Rajdhani,Train_13210,13210,115,False,2025-09-11 10:23:00,2025-09-11 11:45:00,61,6.67,0,108,31,2423,116,116,False,STN_37,1,STN_37,7,5,False,False,Yard,Occupied,True
Superfast,Train_21626,21626,104,False,2025-09-11 10:28:00,2025-09-11 13:27:00,50,11.33,0,50,35,675,105,109,False,STN_42,1,STN_42,6,3,True,False,Yard,Free,False
Rajdhani,Train_16097,16097,24,False,2025-09-11 10:03:00,2025-09-11 12:42:00,54,13.82,61,94,35,797,25,26,False,STN_22,11,STN_22,12,9,True,True,Main,Occupied,False
Rajdhani,Train_15263,15263,172,False,2025-09-11 10:21:00,2025-09-11 12:16:00,51,15.32,18,103,23,961,173,173,False,STN_35,4,STN_35,8,0,False,False,Loop,Under_Maintenance,True
Express,Train_13747,13747,117,False,2025-09-11 10:17:00,2025-09-11 12:51:00,86,11.94,74,71,49,1814,118,122,False,STN_14,5,STN_14,6,3,False,False,Loop,Occupied,True
Superfast,Train_21370,21370,122,False,2025-09-11 10:03:00,2025-09-11 10:59:00,48,11.14,114,36,28,482,123,123,False,STN_5,2,STN_5,12,11,True,False,Loop,Free,True
Passenger,Train_16837,16837,195,True,2025-09-11 10:05:00,2025-09-11 11:35:00,77,1.2,0,120,21,1779,196,198,False,STN_14,6,STN_14,6,3,False,False,Loop,Free,False
Passenger,Train_16497,16497,75,False,2025-09-11 10:18:00,2025-09-11 12:26:00,51,9.09,110,148,6,1020,76,76,True,STN_19,3,STN_19,12,2,True,True,Loop,Free,True
Vande Bharat,Train_21935,21935,127,True,2025-09-11 10:30:00,2025-09-11 11:55:00,74,0.66,114,58,47,2247,128,131,False,STN_43,2,STN_43,12,5,False,False,Yard,Occupied,False
Express,Train_16689,16689,66,True,2025-09-11 10:02:00,2025-09-11 11:14:00,57,5.64,0,79,7,2467,67,70,False,STN_29,4,STN_29,9,7,True,False,Yard,Occupied,False
Vande Bharat,Train_15588,15588,118,True,2025-09-11 10:04:00,2025-09-11 13:06:00,62,6.45,114,54,21,1210,119,119,True,STN_41,7,STN_41,10,0,True,False,Loop,Under_Maintenance,False
Superfast,Train_22172,22172,12,True,2025-09-11 10:19:00,2025-09-11 10:32:00,35,13.52,46,36,29,1249,13,17,True,STN_29,9,STN_29,9,7,True,False,Main,Occupied,True
Passenger,Train_22293,22293,35,False,2025-09-11 10:12:00,2025-09-11 10:20:00,62,2.64,0,76,33,1656,36,36,True,STN_36,5,STN_36,5,3,True,False,Main,Under_Maintenance,False
Rajdhani,Train_17061,17061,111,False,2025-09-11 10:52:00,2025-09-11 13:46:00,70,11.22,61,95,49,1862,112,113,True,STN_11,3,STN_11,9,9,True,True,Main,Under_Maintenance,False
Superfast,Train_21495,21495,188,True,2025-09-11 10:28:00,2025-09-11 11:23:00,61,17.27,0,58,24,2607,189,193,True,STN_46,5,STN_46,6,0,True,False,Main,Under_Maintenance,False
Superfast,Train_13476,13476,83,False,2025-09-11 10:42:00,2025-09-11 13:38:00,65,4.66,38,50,38,1334,84,85,False,STN_40,5,STN_40,11,3,False,False,Yard,Free,True
Express,Train_18807,18807,102,False,2025-09-11 10:34:00,2025-09-11 13:10:00,62,12.03,6,38,28,2164,103,104,True,STN_43,3,STN_43,12,5,False,False,Main,Under_Maintenance,True
Shatabdi,Train_14165,14165,106,False,2025-09-11 10:06:00,2025-09-11 10:54:00,69,8.43,110,53,35,951,107,109,False,STN_38,9,STN_38,11,0,True,True,Yard,Under_Maintenance,True
Shatabdi,Train_20697,20697,162,True,2025-09-11 10:15:00,2025-09-11 13:20:00,47,7.82,0,101,13,1126,163,167,False,STN_45,5,STN_45,10,4,False,False,Main,Under_Maintenance,True
Superfast,Train_14695,14695,176,False,2025-09-11 10:32:00,2025-09-11 12:53:00,38,12.24,103,38,8,2774,177,178,False,STN_13,3,STN_13,3,2,False,False,Yard,Free,False
Vande Bharat,Train_16835,16835,139,False,2025-09-11 10:12:00,2025-09-11 12:25:00,74,13.26,112,35,7,1166,140,142,False,STN_14,5,STN_14,6,3,False,False,Loop,Free,True
Rajdhani,Train_13886,13886,123,False,2025-09-11 10:42:00,2025-09-11 12:37:00,46,0.5,103,85,47,1681,124,128,True,STN_39,3,STN_39,6,5,False,False,Yard,Under_Maintenance,True
Express,Train_14306,14306,109,True,2025-09-11 10:19:00,2025-09-11 13:43:00,50,6.76,64,79,6,1199,110,110,False,STN_6,7,STN_6,10,0,False,False,Loop,Free,False
Superfast,Train_21131,21131,38,True,2025-09-11 10:05:00,2025-09-11 10:47:00,67,7.94,102,42,3,1553,39,40,True,STN_10,3,STN_10,5,3,True,True,Main,Under_Maintenance,False
Passenger,Train_18464,18464,193,True,2025-09-11 10:16:00,2025-09-11 11:25:00,67,4.05,4,108,43,1241,194,196,False,STN_29,3,STN_29,9,7,True,False,Yard,Occupied,True
Passenger,Train_20791,20791,16,False,2025-09-11 10:08:00,2025-09-11 11:41:00,59,9.47,0,210,48,639,17,21,False,STN_8,1,STN_8,6,2,False,False,Yard,Free,False
Vande Bharat,Train_18038,18038,92,False,2025-09-11 10:01:00,2025-09-11 13:54:00,46,13.99,0,48,39,1256,93,97,False,STN_8,2,STN_8,6,2,False,False,Loop,Occupied,False
Rajdhani,Train_21577,21577,191,False,2025-09-11 10:13:00,2025-09-11 11:24:00,56,17.64,0,89,32,951,192,194,False,STN_19,12,STN_19,12,2,True,True,Loop,Under_Maintenance,False
Vande Bharat,Train_13775,13775,171,True,2025-09-11 10:07:00,2025-09-11 11:53:00,46,14.28,28,24,24,1780,172,175,True,STN_38,11,STN_38,11,0,True,True,Yard,Under_Maintenance,False
Passenger,Train_19724,19724,81,True,2025-09-11 10:33:00,2025-09-11 10:33:00,55,2.2,0,141,47,2411,82,84,False,STN_28,4,STN_28,11,10,False,True,Yard,Occupied,False
Express,Train_21995,21995,159,False,2025-09-11 10:12:00,2025-09-11 13:49:00,57,12.58,0,65,58,1655,160,162,True,STN_19,10,STN_19,12,2,True,True,Loop,Under_Maintenance,True
Rajdhani,Train_22410,22410,140,True,2025-09-11 10:23:00,2025-09-11 11:25:00,59,8.05,116,119,12,2264,141,143,False,STN_8,4,STN_8,6,2,False,False,Yard,Free,False
Rajdhani,Train_22637,22637,46,True,2025-09-11 10:38:00,2025-09-11 15:05:00,77,4.52,0,112,11,821,47,51,True,STN_44,2,STN_44,9,8,False,False,Yard,Occupied,True
Passenger,Train_14290,14290,97,True,2025-09-11 10:24:00,2025-09-11 12:01:00,73,7.85,40,52,17,2037,98,102,True,STN_19,5,STN_19,12,2,True,True,Main,Free,False
Rajdhani,Train_16986,16986,34,True,2025-09-11 10:41:00,2025-09-11 11:00:00,66,14.2,80,143,54,2133,35,37,True,STN_42,1,STN_42,6,3,True,False,Main,Under_Maintenance,False
Express,Train_13592,13592,85,False,2025-09-11 10:04:00,2025-09-11 13:13:00,38,9.67,112,86,59,1247,86,87,True,STN_22,1,STN_22,12,9,True,True,Main,Free,True
Rajdhani,Train_18367,18367,40,False,2025-09-11 10:11:00,2025-09-11 13:46:00,73,5.24,83,117,3,860,41,45,False,STN_19,11,STN_19,12,2,True,True,Yard,Occupied,False
Vande Bharat,Train_22985,22985,78,False,2025-09-11 10:48:00,2025-09-11 12:15:00,51,0.14,77,60,35,1607,79,81,False,STN_41,2,STN_41,10,0,True,False,Yard,Under_Maintenance,False
